iter	Passed	Remaining
1004	12597	12472
1005	12610	12460
1006	12619	12444
1007	12629	12428
1008	12644	12418
1009	12655	12404
1010	12671	12395
1011	12685	12384
1012	12697	12371
1013	12712	12361
1014	12726	12350
1015	12742	12341
1016	12757	12331
1017	12767	12315
1018	12780	12303
1019	12795	12293
1020	12810	12283
1021	12823	12271
1022	12831	12254
1023	12839	12237
1024	12854	12226
1025	12863	12211
1026	12878	12201
1027	12889	12187
1028	12894	12167
1029	12911	12159
1030	12926	12149
1031	12942	12139
1032	12951	12124
1033	12960	12108
1034	12976	12098
1035	12991	12088
1036	13002	12074
1037	13016	12063
1038	13027	12049
1039	13040	12037
1040	13049	12021
1041	13144	12084
1042	13160	12075
1043	13171	12061
1044	13185	12050
1045	13200	12039
1046	13216	12029
1047	13221	12009
1048	13233	11997
1049	13249	11987
1050	13265	11977
1051	13278	11965
1052	13290	11952
1053	13301	11938
1054	13316	11927
1055	13329	11915
1056	13343	11904
1057	13358	11894
1058	13367	11877
1059	13368	11854
1060	13377	11838
1061	13388	11825
1062	13404	11815
1063	13414	11801
1064	13425	11786
1065	13439	11775
1066	13449	11760
1067	13463	11748
1068	13471	11732
1069	13486	11722
1070	13502	11712
1071	13511	11696
1072	13527	11687
1073	13538	11673
1074	13552	11661
1075	13561	11645
1076	13575	11634
1077	13588	11622
1078	13603	11611
1079	13617	11599
1080	13629	11586
1081	13640	11573
1082	13652	11559
1083	13663	11546
1084	13674	11532
1085	13683	11516
1086	13693	11501
1087	13703	11487
1088	13711	11470
1089	13712	11448
1090	13721	11432
1091	13731	11417
1092	13746	11407
1093	13760	11395
1094	13769	11380
1095	13778	11364
1096	13785	11347
1097	13800	11336
1098	13812	11323
1099	13819	11307
1100	13830	11292
1101	13844	11281
1102	13859	11271
1103	13870	11256
1104	13870	11234
1105	13885	11224
1106	13898	11211
1107	13913	11201
1108	13926	11189
1109	13930	11169
1110	13944	11158
1111	13954	11143
1112	13960	11125
1113	13973	11113
1114	13986	11101
1115	14002	11091
1116	14012	11077
1117	14025	11064
1118	14041	11054
1119	14054	11042
1120	14103	11058
1121	14110	11041
1122	14132	11036
1123	14139	11019
1124	14150	11005
1125	14157	10989
1126	14171	10977
1127	14180	10962
1128	14189	10946
1129	14190	10925
1130	14205	10914
1131	14220	10904
1132	14235	10893
1133	14248	10881
1134	14262	10869
1135	14277	10858
1136	14288	10844
1137	14302	10833
1138	14316	10822
1139	14325	10807
1140	14334	10792
1141	14346	10778
1142	14357	10764
1143	14372	10753
1144	14385	10741
